Date,US 10 Year,UK 10 Year,US 3 month,UK 3 month,US Stock Market,UK Stock Market,USDperGBP
1974-03-31,0.006175,0.012441666666666667,0.0069,0.010291666666666666,50.6792114,32.1304,2.394
1974-04-30,0.006383333333333334,0.012258333333333335,0.007416666666666667,0.00985,48.8576083,35.0152,2.418
1974-05-31,0.006266666666666666,0.011108333333333333,0.006733333333333333,0.009616666666666666,47.3761698,32.2517,2.3985
1974-06-30,0.006366666666666666,0.012625,0.006116666666666667,0.009633333333333334,46.8397049,29.061,2.391
1974-07-31,0.006575,0.012341666666666667,0.006391666666666667,0.0096,43.3590765,27.8825,2.3847
1974-08-31,0.006758333333333333,0.013333333333333334,0.007441666666666667,0.009641666666666666,39.6083729,24.646,2.3175
1974-09-30,0.006616666666666667,0.012625,0.0051,0.009408333333333333,35.0459536,21.6657,2.3375
1974-10-31,0.006491666666666666,0.013891666666666668,0.0065,0.009333333333333332,40.9255057,22.4366,2.3365
1974-11-30,0.006366666666666666,0.013775,0.006225,0.009408333333333333,38.9153866,19.1116,2.326
1974-12-31,0.006166666666666667,0.014366666666666665,0.005883333333333333,0.009416666666666667,38.2980073,19.3737,2.347
1975-01-31,0.006275,0.012341666666666667,0.004733333333333333,0.008619833333333334,43.1723982,29.8551,2.382
1975-02-28,0.006216666666666666,0.012725,0.0045000000000000005,0.008203166666666666,45.9293986,37.1611,2.429
1975-03-31,0.0066749999999999995,0.011908333333333333,0.004608333333333333,0.007838583333333333,47.0978446,34.9541,2.4067
1975-04-30,0.006925000000000001,0.012625,0.004583333333333333,0.007734416666666666,49.4986073,41.4533,2.3515
1975-05-31,0.006699999999999999,0.012258333333333335,0.004333333333333333,0.007903666666666668,51.8568221,43.3628,2.32
1975-06-30,0.006633333333333333,0.012166666666666666,0.004883333333333333,0.00796875,54.331253,38.4394,2.19
1975-07-31,0.006833333333333333,0.011416666666666665,0.005208333333333333,0.008697916666666666,50.8319675,37.3929,2.155
1975-08-31,0.00685,0.012166666666666666,0.0053,0.008671916666666666,49.9379824,42.709,2.111
1975-09-30,0.007066666666666667,0.012258333333333335,0.005483333333333333,0.008802083333333334,48.3854222,44.0637,2.0434
1975-10-31,0.006591666666666667,0.012533333333333332,0.004591666666666667,0.00951825,51.5448374,45.9924,2.0554
1975-11-30,0.006783333333333334,0.012533333333333332,0.0046166666666666665,0.009166666666666667,52.9957889,46.8508,2.022
1975-12-31,0.006466666666666667,0.012166666666666666,0.004333333333333333,0.008815083333333333,52.5640195,48.8441,2.0242
1976-01-31,0.0065,0.010683333333333333,0.003941666666666667,0.007695333333333334,58.9619349,53.5781,2.0305
1976-02-29,0.006475,0.011733333333333333,0.004166666666666667,0.0072004999999999994,58.4693807,52.0719,2.0276
1976-03-31,0.006383333333333334,0.011908333333333333,0.004141666666666667,0.0069791666666666665,60.4440365,51.5297,1.9163
1976-04-30,0.006391666666666667,0.011733333333333333,0.004091666666666667,0.008164083333333334,59.9637484,53.265,1.8435
1976-05-31,0.006633333333333333,0.011908333333333333,0.004575,0.009244833333333334,59.2870988,49.8431,1.764
1976-06-30,0.00655,0.011575,0.004475,0.009140666666666667,61.8991571,49.3251,1.7883
1976-07-31,0.00655,0.011658333333333333,0.004308333333333333,0.009088583333333334,61.5908865,48.2815,1.7863
